ticker
AAPL
MSFT
NVDA
GOOGL
AMZN
META
TSLA
AVGO
TSM
AMD
CRM
NOW
PLTR
VST
CEG
JPM
UNH
XOM
COST
LLY
ORCL
ADBE
NFLX
QCOM
MU
V
MA
BAC
CAT
HON
ABBV
TMO
NKE
MCD
CVX
GE
